id_hogar,ingreso_mensual_hogar,estrato_socioeconomico,recibe_subsidio,numero_integrantes_hogar,numero_menores_hogar,adulto_mayor_hogar,persona_con_discapacidad_hogar,acceso_internet_estable,acceso_servicios_basicos_completo,riesgo_habitacional,tiempo_desplazamiento_cabecera_min,distancia_centro_salud_min,inasistencia_escolar_hogar,nivel_educativo_jefe_hogar,barrio
H00001,1357735,3,0,2,1,0,0,0,1,3,63,40,0,2,Buenos Aires
H00002,3392652,2,1,4,1,0,0,1,1,1,51,17,0,3,Buenos Aires
H00003,1758974,1,1,6,3,0,0,1,1,3,41,44,0,3,El Progreso
H00004,2508885,3,0,3,2,0,0,1,1,2,25,19,0,3,Las Acacias
H00005,2350140,2,1,6,0,0,0,1,1,1,47,8,0,5,San Carlos
H00006,1762575,3,1,7,5,0,0,1,1,2,37,7,1,2,Villa Sofía
H00007,716217,1,1,6,2,1,0,1,0,4,70,36,0,1,Nueva Colombia
H00008,2969657,3,0,4,2,1,0,1,1,2,44,18,1,3,San Luis
H00009,968332,1,0,6,2,1,0,0,1,3,70,41,0,2,La Primavera
H00010,1171118,2,1,7,3,1,0,0,1,2,29,32,0,4,La Unión
H00011,1104959,2,1,5,1,1,1,1,0,3,46,60,1,1,La Victoria
H00012,1900579,2,1,6,4,0,0,1,1,3,65,17,0,2,Centro
H00013,3046022,3,0,4,0,0,0,1,1,2,52,11,0,3,El Porvenir
H00014,1550793,2,0,4,0,1,0,0,1,2,62,21,1,3,Villa Sofía
H00015,1161314,2,0,4,2,0,0,1,1,2,50,14,0,2,La Primavera
H00016,2841632,2,0,6,0,0,0,1,1,1,26,17,0,5,Las Acacias
H00017,2934005,4,0,4,1,0,0,1,1,1,31,24,0,3,San Carlos
H00018,1486363,2,0,5,3,0,0,0,1,3,55,31,1,2,Nueva Colombia
H00019,1243010,1,1,8,1,0,0,1,1,3,84,69,1,4,El Carmen
H00020,1170921,1,0,5,3,1,0,1,1,4,45,31,0,1,El Carmen
H00021,720378,1,1,4,1,0,0,0,1,3,27,14,0,3,El Progreso
H00022,1008435,1,0,6,2,0,1,1,1,5,46,66,0,2,La Aurora
H00023,1425916,1,0,2,1,1,0,1,1,2,35,31,0,2,San Jorge
H00024,1011658,2,1,5,3,1,0,0,1,5,116,56,0,1,Buenos Aires
H00025,3492588,3,0,5,3,0,0,1,1,3,22,21,0,2,El Progreso
H00026,919736,1,1,6,1,1,0,0,1,4,52,34,0,3,San Jorge
H00027,808661,2,0,5,2,0,1,0,0,5,51,33,0,2,Manablanca
